"visit_date","condition","pageload_delay_added","like_conversion_rate"
2018-03-01,"tips","no",0.146137787056367
2018-03-01,"tools","no",0.0542635658914729
2018-03-02,"tips","no",0.151394422310757
2018-03-02,"tools","no",0.0513833992094862
2018-03-03,"tips","no",0.136268343815514
2018-03-03,"tools","no",0.048
2018-03-04,"tips","no",0.168932038834951
2018-03-04,"tools","no",0.0568627450980392
2018-03-05,"tips","no",0.143133462282398
2018-03-05,"tools","no",0.0575692963752665
2018-03-06,"tips","no",0.159763313609467
2018-03-06,"tools","no",0.0453781512605042
2018-03-07,"tips","no",0.168650793650794
2018-03-07,"tools","no",0.0487329434697856
2018-03-08,"tips","no",0.139963167587477
2018-03-08,"tools","no",0.0394736842105263
2018-03-09,"tips","no",0.145569620253165
2018-03-09,"tools","no",0.0572597137014315
2018-03-10,"tips","no",0.13469387755102
2018-03-10,"tools","no",0.044
2018-03-11,"tips","no",0.141242937853107
2018-03-11,"tools","no",0.0450819672131148
2018-03-12,"tips","no",0.139293139293139
2018-03-12,"tools","no",0.0495867768595041
2018-03-13,"tips","no",0.158762886597938
2018-03-13,"tools","no",0.0533596837944664
2018-03-14,"tips","no",0.164705882352941
2018-03-14,"tools","no",0.0419161676646707
2018-03-15,"tips","yes",0.100656455142232
2018-03-15,"tools","yes",0.0548245614035088
2018-03-16,"tips","yes",0.109504132231405
2018-03-16,"tools","yes",0.0359168241965974
2018-03-17,"tips","yes",0.105461393596987
2018-03-17,"tools","yes",0.0561330561330561
2018-03-18,"tips","yes",0.103238866396761
2018-03-18,"tools","yes",0.0535372848948375
2018-03-19,"tips","yes",0.083955223880597
2018-03-19,"tools","yes",0.045360824742268
2018-03-20,"tips","yes",0.108870967741935
2018-03-20,"tools","yes",0.0458333333333333
2018-03-21,"tips","yes",0.0845665961945032
2018-03-21,"tools","yes",0.0395010395010395
2018-03-22,"tips","yes",0.115009746588694
2018-03-22,"tools","yes",0.0609756097560976
2018-03-23,"tips","yes",0.111111111111111
2018-03-23,"tools","yes",0.0758483033932136
2018-03-24,"tips","yes",0.111545988258317
2018-03-24,"tools","yes",0.0482456140350877
2018-03-25,"tips","yes",0.103448275862069
2018-03-25,"tools","yes",0.032258064516129
2018-03-26,"tips","yes",0.0947775628626693
2018-03-26,"tools","yes",0.0520231213872832
2018-03-27,"tips","yes",0.109704641350211
2018-03-27,"tools","yes",0.0638297872340425
2018-03-28,"tips","yes",0.0981132075471698
2018-03-28,"tools","yes",0.0446601941747573
2018-03-29,"tips","yes",0.108108108108108
2018-03-29,"tools","yes",0.0701030927835052
2018-03-30,"tips","yes",0.0794979079497908
2018-03-30,"tools","yes",0.0544354838709677
2018-03-31,"tips","yes",0.101593625498008
2018-03-31,"tools","yes",0.0437262357414449
